Unnamed: 0,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_hospital1,test_acc_hospital2,val_AC,val_ANE,val_l2,val_EMD,test_AC_hospital1,test_ANE_hospital1,test_l2_hospital1,test_EMD_hospital1,test_AC_hospital2,test_ANE_hospital2,test_l2_hospital2,test_EMD_hospital2,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,inflow_from_0,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,sharpness,test_ATC_hospital2,test_rankme_id,test_alphaReQ_id,test_rankme_hospital2,test_alphaReQ_hospital2,edge_start_ratio_deep_vs_shallow,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5
0,0,False,0.0,ViT-B_16-scratch,False,0.01,0.9422824791418356,0.9422057271003724,0.8191324472427368,0.5892021656036377,0.94038325548172,-0.1644593775272369,231.29076710896683,2.3826582431793213,0.889321506023407,-0.2694211304187774,231.29076710896683,2.379337787628174,0.8539914488792419,-0.3443719744682312,231.29076710896683,2.4393444061279297,6.37819222115403,0.7558181285858154,6.366077899932861,0.0007815352873876,0.9852694869041444,0.0436321811060099,0.0010025760005589,1.6472951179902688,1.6473057104172897,2.0919876406958866,2.566850568399422,11.114452481964404,2.555570039295416,0.0032401636964038,0.0028451789672487,0.0166670883394388,0.0239643189345215,0.0091918297111988,0.1682856827974319,1.7619928121566772,23,0.0002549817594182,-3.293099265803837e-05,0.0033651137960865,2493.5682758754765,3.4624049335991423,2.8176389755889204,0.3560448450647736,16.222222222222225,0.0373043519315781,1549835.3148749613,0.0003435144774415,495605,0.8240056824916875,2.4686786068096764,0.011302294197031,0.0435957238266822,0.0052864329763063,0.6412920953032639,0.0013116825320313,-0.0001694043506867,0.0890510410932477,301276.9643014925,0.0017671144132365,0.011302294197031,0.2242660403270484,0.4704486429691314,0.0025623622350394,2.3931963443756104,2.44859266281128,0.3783870935440063,1.0,0.0,0.156461220086142,0.0536561276832651,0.139155833302572,0.1483351175293649,0.0489182762761985,0.051990779620717,0.0452290595029142,0.0779803945707837,0.1186636804038803,0.0929049540867038,0.1044261342330541,0.1187396427905459,,33,103,0.1950757575757575,1.0,0.2433044905026578,535.4657609894037,0.0002788490716653,1.745035827285644,7,20,0.9523809523809524,1.0,0.8951268254232817,332.8931816459833,0.0028388211848223,0.1155630575958542,0.0697005575592511,0.0361086762119761,0.6031387452814476,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0127821201458573,0.1053882390260696,0.0181535761803388,0.0091918297111988,170,0.180712778121233,82.95083123662614,30.164779663085938,1.4954079235669706,16.132427215576172,1.5964064763207888,0.0308889653653672,0.00971767994905584,0.020287533733433404,0.050011548683762536,0.10352543125500817
1,1,False,0.0,ViT-B_16-scratch,False,0.01,0.9438617401668652,0.9438100457191468,0.8348899483680725,0.5837938189506531,0.942550539970398,-0.1563598364591598,231.28991616986744,2.391094207763672,0.8951608538627625,-0.2568362951278686,231.28991616986744,2.378344774246216,0.8351852893829346,-0.3730943500995636,231.28991616986744,2.440672874450684,6.511240050612669,0.8212757110595703,6.601946830749512,0.0007623705532751,0.8471901416778564,0.0466210923704313,0.0009481786460838,1.4594673181138818,1.4594743688890672,1.8301331163320047,2.0422351535955605,5.262945584371404,2.538811295130747,0.0037766917528898,0.0030779390619244,0.0173607657439413,0.0247425574960177,0.0085248351097106,0.1634847521781921,1.7727819681167605,23,0.0001923601344965,-5.791037287077979e-05,0.0039273461715791,2588.943557813536,3.3389861070887066,2.844295454736724,0.3163853457544744,48.22222222222222,0.0393060156094699,1518948.8772810088,0.0003452813886374,281834,0.7854708329314791,2.445830894890784,0.0100539811066126,0.0462568857409586,0.0047778308647873,0.6405250002741245,0.0008842872412987,-0.0002662162649931,0.082995731011177,330418.8922062036,0.0015872723799801,0.0100539811066126,0.2126447546431111,0.4678739309310913,0.0026148720644414,2.481817960739136,2.451199531555176,0.3880844712257385,1.0,0.0,0.1476308942416456,0.0486666542886266,0.1077990268603809,0.1451138217195005,0.0409873285457673,0.0595991238399306,0.0569484452241469,0.0747684477332645,0.1195324752752925,0.0991669442322454,0.0886546954607231,0.1163201892568118,0.0424428475633093,33,106,0.2007575757575757,1.0,0.2781818091639547,558.7309421426289,0.0002540916457348,1.7513429677440595,7,20,0.9523809523809524,1.0,0.9444764157198764,311.5372574343868,0.0026884096913313,0.1154627726753179,0.0665971297903111,0.0344455523556186,0.5767844323086078,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0123686585575342,0.1160302609205246,0.0186066702008247,0.0085248351097106,171,0.11310950294137,80.52296188303902,35.052574157714844,1.4847605079512691,20.3992862701416,1.5657120800991835,0.0318344523631141,0.01077333665590359,0.020511928010935772,0.05106583083174791,0.10600309483471641
2,2,False,0.0,ViT-B_16-scratch,False,0.03,0.9578069129916568,0.9577747583389282,0.7709431648254395,0.671220600605011,0.9508431553840636,-0.1359990090131759,231.3060550334651,2.4040393829345703,0.8999990820884705,-0.2388519048690796,231.3060550334651,2.387319564819336,0.8598085641860962,-0.32936492562294,231.3060550334651,2.4446892738342285,6.3147225108500615,0.9852795004844666,9.37890338897705,0.0019573564932215,0.9187707901000975,0.0676942460227391,0.0001078723288969,1.0279405973198228,1.0279432528673862,1.2713593424822995,1.70149339145784,3.7042059595391175,1.3031634560555092,0.0049079632330517,0.0033002732782847,0.0245641005163731,0.0314154854095534,0.0175507608801126,0.1567324250936508,1.8817375898361208,9,0.0001562400978927,-1.0205917841076335e-05,0.0047146229366486,2921.9926514937965,2.933548119659679,2.7032172441039086,0.312136335826134,2.8888888888888893,0.0162788155421225,1429665.6654022017,0.0002722115763497,139031,0.8036921597833911,2.3791248188936738,0.0090145148968678,0.0531519563105598,0.0042069327731092,0.6628571766525398,0.0007820291459715,-5.108369229658838e-05,0.1181157550265379,285630.15682709,0.0013625015950264,0.0090145148968678,0.2660416852717181,0.5460615754127502,0.0023476183414459,3.3278636932373047,2.475217819213867,0.425444096326828,1.0,0.0,0.1357918599185115,0.0584305766832233,0.0907478943703622,0.1032791525008286,0.0799317188748898,0.0810759655958582,0.1102060542203184,0.103444104984984,0.053212389678217,0.1082452860106086,0.0716586006778378,0.1015963325092717,0.0381719238936,28,95,0.2513227513227513,1.0,0.3565862504274746,676.9116126296391,0.0002116722802142,1.628713008931305,7,21,1.0,1.0,0.9456914677195432,244.9813704524579,0.0032568342209569,0.1395606886142468,0.1158631512272239,0.0614940211496266,0.830199050876539,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0181769020855426,0.1122780665755271,0.0220176633447408,0.0175507608801126,170,0.2629553712904453,84.56157264796482,28.093036651611328,1.6546463944378742,17.310504913330078,1.7344417349681729,0.0414538702677719,0.012582762140127043,0.027859097571905682,0.06446034065256852,0.11994193453541864
3,3,False,0.0,ViT-B_16-scratch,False,0.003,0.9019964243146604,0.9015637636184692,0.8214244842529297,0.4595315754413605,0.8629593253135681,-0.3273810446262359,231.2861526996261,2.362080335617065,0.8751279711723328,-0.2987050414085388,231.2861526996261,2.3671584129333496,0.8413804769515991,-0.3601626753807068,231.2861526996261,2.4466488361358643,6.904819703985245,0.0337850414216518,1.816933870315552,0.0002155632100766,1.195674180984497,0.0409643203573128,-0.0003973142192137,0.7945877188052045,0.7945918165345885,1.013074787158476,0.8958078176139533,1.9007825964352096,-0.4120959797684759,0.0019595569734178,-0.0004421720809091,0.0091173891593187,-0.0237796252628867,0.0055411816574633,0.2050486356019973,1.631944179534912,18,0.0001447503280609,-2.114257649481931e-05,0.0010081704848058,1955.24182757572,5.521616782097461,2.902502912132991,0.3153532415792023,75.25,0.0104841810310548,3580657.7360359994,0.0002711042953859,2539,0.6808805393337563,2.406491755594349,0.0083443126921387,0.0247556742211225,0.0044347826086956,0.6003060445254081,0.0006735250377294,-9.837666809061057e-05,0.0218274172898727,769535.4309585788,0.0012614515882237,0.0083443126921387,0.1151884517877447,0.211440235376358,0.0003594031149987,2.091186046600342,2.535676956176758,0.479692667722702,1.0,0.0,0.2179040450879786,0.3099106340611993,,,0.166695764225434,,,0.1500357136648686,0.1408972679944292,,0.1420123186075842,,0.0904483014464845,43,140,0.1550387596899224,1.0,0.3489600454511548,567.5905474205254,0.0002508935741387,1.9434667425183247,2,1,1.0,1.0,2.0,386.1102484399293,0.0051798676882599,0.0051798676882599,0.0256766948967074,0.0130053141906077,4.957017522841992,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0069318632595241,0.052762433886528,0.0094835739582777,0.0055411816574633,157,0.1496387496590614,87.36332212476779,28.651445388793945,1.4886692692379797,12.859132766723633,1.5667287347958494,0.0284286156034804,0.005817278838834409,0.01702653997795591,0.049556165433620056,0.10551785941476464
4,4,False,0.0,ViT-B_16-scratch,False,0.01,0.9423122765196664,0.9422401189804076,0.8073573112487793,0.538928210735321,0.9273656606674194,-0.1940282136201858,231.2898655463605,2.3864495754241943,0.886174738407135,-0.2721481323242187,231.2898655463605,2.377304553985596,0.8175899386405945,-0.4013763070106506,231.2898655463605,2.4475302696228027,6.57739600975065,0.5834086537361145,5.819474697113037,0.0009075439083972,0.8165796995162964,0.0316125343248796,0.000324989064854,1.2076993709530497,1.2077070789121866,1.6330984980394214,1.5695729814149637,3.9781914456605536,1.539956216297915,0.0025552288804533,0.0021606084939662,0.0143542068490821,0.02155188924901,0.0183297824114561,0.1482974737882614,1.7129606008529663,17,0.0001875542238277,-7.107854336764322e-06,0.0041930109045469,2560.732386508542,3.278921400056476,2.5777433000623664,0.2802169592463803,68.22222222222221,0.0142560941038759,2680441.4156477978,0.0002548757565113,230293,0.7347149286133904,2.2571575375362407,0.0089944088809658,0.0515010739760319,0.004443021254453,0.7020365060660375,0.0010536681584063,-3.993150530557689e-05,0.1323366148287285,477121.8548817231,0.0014318764208587,0.0089944088809658,0.28932989014759,0.4510809779167175,0.0032793618738651,2.3463244438171387,2.312352180480957,0.3448347449302673,1.0,0.0,0.1383337035045926,0.0889493074578365,0.1244695580475661,0.12257205126362,0.0640778554055471,0.0488707201582101,0.0874322521832689,0.0574164722678941,0.0594186788711922,0.052974106237045,0.1373928290873677,0.1228434711364051,0.0335826978840465,36,113,0.1793650793650793,1.0,0.3387734910913298,705.8710299858108,0.0001784179025912,1.8067604493873577,7,19,0.9047619047619048,1.0,0.8295063685360655,497.6713809496164,0.0018976590553442,0.0799431448682174,0.0566482028722123,0.0291497416761785,0.7086061345922064,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0190626457333564,0.0988579392433166,0.0227591171860694,0.0183297824114561,178,0.0588335171341896,78.71234744985539,34.43402099609375,1.4763682809212886,17.48640251159668,1.5883840978762929,0.0259338726145294,0.006798578647833231,0.0161075331750493,0.043004554646815435,0.08521021089461356
5,5,False,0.0,ViT-B_16-scratch,False,0.03,0.9567938021454112,0.9567493200302124,0.7850962281227112,0.6583464741706848,0.951142430305481,-0.1351209282875061,231.30569723463373,2.404515504837036,0.8969221711158752,-0.2458745390176773,231.30569723463373,2.394932985305786,0.8586129546165466,-0.3320819139480591,231.30569723463373,2.443115234375,6.369507216143405,0.9238879680633544,8.526463508605957,0.0019795674743363,0.886682391166687,0.0486853503109353,9.465276941256208e-05,1.0280488105048091,1.0280518449493778,1.3182620225956112,1.9991426449317995,5.67423268724777,1.0428167002767497,0.0044480887661393,0.0028769243288024,0.0208828318328349,0.0265508399902856,0.0191751215606927,0.149006113409996,1.8508723974227903,23,0.0001840817656035,-9.442307462190048e-05,0.0058135173083728,3516.017932239384,2.942335978581599,2.714730925879263,0.2949036590263438,64.0,0.0139618540972662,1092523.4366342162,0.0002378979621714,188337,0.8028753614200448,2.368852091836392,0.009313725490196,0.059012304106093,0.0039415016943106,0.6848802653703738,0.0008642926895604,-0.000443331043101,0.1281560379022598,232691.6023873391,0.0011169681079789,0.009313725490196,0.2770719903228781,0.5472276210784912,0.0023758541792631,3.097750902175904,2.3583807945251465,0.3870106935501098,1.0,0.0,0.1349815322424185,0.0635880320006186,0.0680210735536822,0.1225833754688992,0.09769769491946,0.0961232749322737,0.0996013305518957,0.0923619540686473,0.0583394307039597,0.108018549874324,0.0936566434580789,0.0844976056772631,0.015511034790897,29,113,0.2783251231527093,1.0,0.3601611099811508,573.2887277746303,0.0002689626374959,1.6909336878155288,7,21,1.0,1.0,0.9606259567078836,314.95603839783263,0.0025498199763583,0.1107529143683173,0.0991566989080769,0.0521645833989141,0.895296520851124,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0198804661631584,0.1247295290231704,0.0241976790130138,0.0191751215606927,188,0.2806330397725105,83.9419662802455,27.90752410888672,1.632525370907517,17.104782104492188,1.743438027757197,0.0336949291331234,0.012066594509116102,0.022529455513444895,0.05219510378304647,0.09977738229205493
6,6,False,0.0,ViT-B_16-scratch,False,0.003,0.8943980929678188,0.8943072557449341,0.823859691619873,0.4445058405399322,0.8655309677124023,-0.3248144090175628,231.2861503592633,2.360365152359009,0.8769811391830444,-0.2909299433231354,231.2861503592633,2.3683557510375977,0.8196614384651184,-0.3876548409461975,231.2861503592633,2.4468860626220703,6.898636740164743,0.1428384184837341,5.228740692138672,0.0001806315922294,0.8172268271446228,0.0258316487719524,-0.0004598156772175,0.6873178192421754,0.6873224904861618,0.9859833437091996,0.91912484485271,1.947101326504844,0.3593639086719885,0.0014499623066512,0.0004132438498345,0.0080829174332109,0.01512712378843,0.005651990417391,0.1915803551673889,1.5808119773864746,20,0.0001828455234901,-8.346764985833635e-06,0.0011237294989589,2001.069166683756,4.803163510012692,2.743852168849599,0.2784082794109015,26.0,0.0127697412586719,2940011.2511478523,0.0002144567175886,3094,0.6055532718801683,2.212535510720131,0.008246225319396,0.0269375955830223,0.0044535223677359,0.6489474645153231,0.0010193376541691,-4.653202531642361e-05,0.0349244239252269,527369.7985454896,0.0011955655492792,0.008246225319396,0.1501732435234653,0.406394898891449,0.0005735174054279,1.987430453300476,2.4533841609954834,0.4348095655441284,1.0,0.0,0.1926880854817892,0.2293748039881678,,0.1986065383949001,0.1105105019116726,0.132481278891066,0.0648718310253444,0.1679202673435342,,,,,0.0962347784453147,39,134,0.1808367071524966,1.0,0.3630943054640318,540.6064062397145,0.0003094747382764,1.9444090884131096,2,1,1.0,1.0,2.0,252.0629286725049,0.0079345265507031,0.0079345265507032,0.023828192518093,0.012057753494852,3.003101995541399,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.007152241654694,0.0518238544464111,0.0098308408632874,0.005651990417391,153,0.1545415557920932,81.79979777553083,30.13092041015625,1.4876261544675378,13.450286865234377,1.5649851001386088,0.0221056311346334,0.0060803060087545385,0.013356724663944077,0.040480964652032415,0.0883424353358189
7,7,False,0.0,ViT-B_16-clip-openai,False,0.01,0.991030989272944,0.9910300970077516,0.9261115789413452,0.9253297448158264,0.989588737487793,-0.0317593142390251,322.44178520007017,2.412158727645874,0.9560056924819946,-0.1101975291967392,322.44178520007017,2.420651912689209,0.9653728008270264,-0.0872846990823745,322.44178520007017,2.497519969940185,7.522164646328536,1.1540675163269043,31.034608840942383,0.0002375037438469,1.4231258630752563,0.4928751782042703,0.0136075647131121,65.10687163211296,65.10983261242716,68.84241435272673,109.72446601701066,233.97965156272417,221.2621653323727,0.0146120496560513,0.0136459543623743,0.0868938892744106,0.3669595793524927,0.0059877200983464,0.1620549708604812,1.8456381559371948,22,7.822906351622711e-05,-9.573056334807978e-06,0.0006594910728713,1657.3632616898306,5.103506702572568,2.93928094818716,0.4640770849537846,17.555555555555554,0.0224853685822771,8912642.695699913,0.0002533218486988,83373,1.186245102473579,2.706673879504037,0.0142494123626199,0.0185721046360671,0.0073917987825272,0.6204759461655047,0.0004652076280924,-5.692844500688706e-05,0.0233220288614732,1498745.147574711,0.0015064383296042,0.0142494123626199,0.1104434140638217,0.7328101992607117,0.0002077371755149,3.958972454071045,2.988245725631714,0.6199117302894592,1.0,0.0,0.1650854554678975,,0.1389923723643227,0.7258238715821708,,,,,,0.011325818068685,0.0510576544806259,0.0728002835041954,,22,51,0.2207792207792207,1.0,0.5940895314450073,543.5759839919275,0.0003477487534013,0.7957483062492662,32,84,0.1693548387096774,1.0,0.3319360044342749,559.5995733600215,0.000244922851934,1.0755893250073236,0.0643311843717049,0.0332346028681687,0.0808436334284239,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0064342874102294,0.0410280637443065,0.0081663373857736,0.0059877200983464,155,0.1644852180033922,96.93488842382486,193.19674682617188,0.8945926334035452,178.5214080810547,0.9423607698488132,0.3936415237565774,0.2575672125329304,0.39413541226701243,0.5288214010568362,0.6340815892022954
8,8,False,0.0,ViT-B_16-clip-openai,False,0.03,0.9871573301549464,0.98715478181839,0.8658892512321472,0.7448326945304871,0.9858306646347046,-0.0421396307647228,322.456379094953,2.4079785346984863,0.935717225074768,-0.1592610776424408,322.456379094953,2.396831512451172,0.928512156009674,-0.1764734387397766,322.456379094953,2.471027374267578,7.339734306649728,0.3634830117225647,19.553855895996094,0.0001828223321354,1.5385135412216189,0.1004712421507303,0.0035198734014656,7.434592115055935,30.87179316404113,34.91472377040265,35.27528261314786,48.106394967020464,117.1144974707571,0.0041140939680417,0.0040172122613739,0.0212499292308157,0.2161094251016956,0.0050985030829906,0.2266677021980285,1.7576736211776731,18,8.765438590161557e-05,-6.621564566590592e-05,0.0003295044110287,1194.09641713944,6.077026167034624,2.887823142326688,0.3578459764498197,5.25,0.0140185068227506,4394628.009154412,0.0002961183761876,6021,0.7282809463827006,2.456660244939159,0.0134001161440185,0.0158606721588896,0.0074612161937945,0.4936146040413853,0.0004527490075581,-0.0003420144509746,0.0087908111315541,850821.1290418039,0.0015294990522511,0.0134001161440185,0.0819229246977039,0.4303688406944275,4.2453553760424256e-05,4.429327487945557,2.815415620803833,0.6498710513114929,1.0,0.0,0.1831649209449268,,0.4678673876641939,,,,,,,,0.0717171558522269,0.4604154564835791,,28,77,0.2037037037037037,1.0,0.4461576692475889,279.08302577497403,0.0005616759295501,1.6177694400679166,14,22,0.2417582417582417,1.0,0.2980649917673309,490.8670559104251,0.0004832029986557,0.2213290720385212,0.0804507439467812,0.0419112683319186,0.3634892750681175,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0052116722799837,0.0290565676987171,0.005969735328108,0.0050985030829906,127,0.0542069403454661,92.4495026688927,51.95138168334961,1.0605557562344257,77.28853607177734,1.0913307801349503,0.0853999891485244,0.017757516708923556,0.054050688341371965,0.14483676069376739,0.24696465249256327
9,9,False,0.0,ViT-B_16-clip-openai,False,0.003,0.9881406436233612,0.9881395697593688,0.8830792903900146,0.9478801488876344,0.9867662191390992,-0.0407583601772785,322.43951464050394,2.401970386505127,0.9436277747154236,-0.1398683488368988,322.43951464050394,2.407414436340332,0.963372528553009,-0.097505435347557,322.43951464050394,2.4847121238708496,7.51693007679857,1.490809440612793,29.93806838989257,0.0005424164555734,1.770539164543152,0.2457195766875969,0.017395482609416,60.87741477144952,60.87943353845136,63.85358225554606,98.17665152454528,221.3356750867653,257.52798641309323,0.0185499827493913,0.017052695962775,0.0432521547612966,0.3424484826062474,0.0084145721048116,0.1888151615858078,1.8008747100830078,22,0.0002287389343274,-0.0001290091970125,0.0015776498837194,1414.7409046839916,5.677160942890724,3.064235816303591,0.4252505521696659,19.6875,0.027673906027445,2417744.233142811,0.0005740528427315,66450,0.9955630915644708,2.7364641538891004,0.0132079350395724,0.0300556823706505,0.0073145020760277,0.5310469722134347,0.0005333409825094,-0.000300805329902,0.008577097601235,1036920.5752138086,0.0013384949448499,0.0132079350395724,0.070079573446536,0.7482725977897644,4.692639049608261e-05,5.125184535980225,2.951326370239258,0.6392011642456055,1.0,0.0,0.224160227715857,,0.151256745339526,0.6915427139459321,,,,,,0.0123591689662898,0.0313589261612566,0.1134824455869953,,27,52,0.1481481481481481,1.0,0.3983597944707302,391.1484587504007,0.0003034101522755,0.9104780394616504,20,43,0.2263157894736842,1.0,0.1913131361830395,397.2266579836472,0.0004821977838165,0.787069757377572,0.1512261015803888,0.081798050972951,0.1921381175720145,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0091111920773983,0.0721745565533638,0.0120631763711571,0.0084145721048116,141,0.6011096835136414,96.0354598255226,220.7621917724609,0.7797231447360369,211.18923950195312,0.7964401373909394,0.1807608214637126,0.1171442527976434,0.16487870944937252,0.2618698202370941,0.3882055443428105
